调研标签,位置,排名,POI名称,地址,经度,纬度,小组,BDM,BD,商家ID,门店ID,品牌ID,POI ID,商圈类型,经营大类,营业状态,是否认领,是否在售,是否动销,本月GMV,线下GMV,商品数,搜索次数,颜色,高德标记链接,高德搜索链接
新开问题调研,南锣鼓巷-雍和宫-隆福寺,3,吉事果(隆福寺街店),隆福寺街41号底商，东宫影剧院东侧20米,116.415414,39.925135,北京六区3,吴权,李守家,-,-,-,7626257613184993343,-,-,正常营业,0/空,0,0,0.00,0.00,0,11,orange,https://uri.amap.com/marker?position=116.415414%2C39.925135&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E5%90%89%E4%BA%8B%E6%9E%9C%28%E9%9A%86%E7%A6%8F%E5%AF%BA%E8%A1%97%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E5%90%89%E4%BA%8B%E6%9E%9C%28%E9%9A%86%E7%A6%8F%E5%AF%BA%E8%A1%97%E5%BA%97%29
新开问题调研,南锣鼓巷-雍和宫-隆福寺,4,全聚德稻香村,烟袋斜街与大石碑胡同交叉口往西60米,116.394716,39.939125,北京五区5,张嘉玉,李鹏鹏,-,-,-,7627167050187671579,-,-,正常营业,0/空,0,0,0.00,0.00,0,8,orange,https://uri.amap.com/marker?position=116.394716%2C39.939125&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E5%85%A8%E8%81%9A%E5%BE%B7%E7%A8%BB%E9%A6%99%E6%9D%91&src=codex.poi.visit,https://www.amap.com/search?query=%E5%85%A8%E8%81%9A%E5%BE%B7%E7%A8%BB%E9%A6%99%E6%9D%91
新开问题调研,南锣鼓巷-雍和宫-隆福寺,5,太阳花蛋挞,地安门西大街49号,116.391275,39.936597,北京五区5,张嘉玉,李鹏鹏,-,-,-,7627335256294557732,-,-,正常营业,0/空,0,0,0.00,0.00,0,0,orange,https://uri.amap.com/marker?position=116.391275%2C39.936597&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E5%A4%AA%E9%98%B3%E8%8A%B1%E8%9B%8B%E6%8C%9E&src=codex.poi.visit,https://www.amap.com/search?query=%E5%A4%AA%E9%98%B3%E8%8A%B1%E8%9B%8B%E6%8C%9E
动销问题调研,南锣鼓巷-雍和宫-隆福寺,1,西萨蛋糕,北门仓胡同北门仓6号楼17号,116.427965,39.934279,北京六区6,杨卉,张佳音,7117620357732763689,7290494012769798178,-,6601154968843978759,热点商业区块,核心商业区,正常营业,1,1,0,0.00,0.00,12,16,red,https://uri.amap.com/marker?position=116.427965%2C39.934279&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E8%A5%BF%E8%90%A8%E8%9B%8B%E7%B3%95&src=codex.poi.visit,https://www.amap.com/search?query=%E8%A5%BF%E8%90%A8%E8%9B%8B%E7%B3%95
动销问题调研,南锣鼓巷-雍和宫-隆福寺,2,舆观咖啡.You Viewpoint Cafe,灯市口演乐胡同93号,116.418636,39.920595,北京六区3,吴权,刘蕙冰,7307255367447087130,7381759540376750089,-,7363476348100151350,-,-,正常营业,1,1,0,0.00,0.00,8,9,red,https://uri.amap.com/marker?position=116.418636%2C39.920595&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E8%88%86%E8%A7%82%E5%92%96%E5%95%A1.You+Viewpoint+Cafe&src=codex.poi.visit,https://www.amap.com/search?query=%E8%88%86%E8%A7%82%E5%92%96%E5%95%A1.You+Viewpoint+Cafe
动销问题调研,南锣鼓巷-雍和宫-隆福寺,3,蓝咖啡LANCOFFEE(东直门店),东直门街道东直门外大街42号一层101-02室,116.437493,39.940399,北京四区5,马凯,张玉清,7407306044528920603,7407833375362271271,-,6987589393800235021,热点商业区块,核心商业区,正常营业,1,1,0,0.00,0.00,7,14,red,https://uri.amap.com/marker?position=116.437493%2C39.940399&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E8%93%9D%E5%92%96%E5%95%A1LANCOFFEE%28%E4%B8%9C%E7%9B%B4%E9%97%A8%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E8%93%9D%E5%92%96%E5%95%A1LANCOFFEE%28%E4%B8%9C%E7%9B%B4%E9%97%A8%E5%BA%97%29
动销问题调研,南锣鼓巷-雍和宫-隆福寺,4,TJE STUDIO(服装咖啡集合店),隆福寺6号院1号楼一层EL1-04,116.415904,39.924561,北京六区3,吴权,李守家,7550959072159008806,7550966294393227306,-,7532790495852890127,热点商业区块,核心商业区,正常营业,1,1,0,0.00,0.00,6,8,red,https://uri.amap.com/marker?position=116.415904%2C39.924561&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-TJE+STUDIO%28%E6%9C%8D%E8%A3%85%E5%92%96%E5%95%A1%E9%9B%86%E5%90%88%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=TJE+STUDIO%28%E6%9C%8D%E8%A3%85%E5%92%96%E5%95%A1%E9%9B%86%E5%90%88%E5%BA%97%29
动销问题调研,南锣鼓巷-雍和宫-隆福寺,5,福京熹奶酪,地安门外大街甲17号(什刹海地铁站A2西北口步行160米),116.395914,39.939558,北京五区5,张嘉玉,李鹏鹏,7576153265230940195,7578355006282221568,-,7458516838532515890,"热门景点,便民服务","休闲文旅区,社区生活区",正常营业,1,1,0,0.00,0.00,4,24,red,https://uri.amap.com/marker?position=116.395914%2C39.939558&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E7%A6%8F%E4%BA%AC%E7%86%B9%E5%A5%B6%E9%85%AA&src=codex.poi.visit,https://www.amap.com/search?query=%E7%A6%8F%E4%BA%AC%E7%86%B9%E5%A5%B6%E9%85%AA
扫码/营销调研,王府井-前门-西单,1,馥夏FRUSHA法式半糖蛋糕(北京首店),东方广场1层AA56a-1店铺(近商场东门),116.417068,39.909554,北京六区3,吴权,"荆炳贺, 高玉",7610643736768317478,7611019759199275008,-,7572817120963250227,热点商业区块,核心商业区,正常营业,1,1,1,5147.40,2982.80,9,273,blue,https://uri.amap.com/marker?position=116.417068%2C39.909554&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E9%A6%A5%E5%A4%8FFRUSHA%E6%B3%95%E5%BC%8F%E5%8D%8A%E7%B3%96%E8%9B%8B%E7%B3%95%28%E5%8C%97%E4%BA%AC%E9%A6%96%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E9%A6%A5%E5%A4%8FFRUSHA%E6%B3%95%E5%BC%8F%E5%8D%8A%E7%B3%96%E8%9B%8B%E7%B3%95%28%E5%8C%97%E4%BA%AC%E9%A6%96%E5%BA%97%29
扫码/营销调研,王府井-前门-西单,2,山野丘丘,天坛街道珠市口东大街6号1层底商6-4号,116.411482,39.892508,北京二区4,张育岩,"张瑷麟, 王文朵",7540557041908205620,7540558984940357683,-,7483757930324428850,热点商业区块,核心商业区,正常营业,1,1,1,4544.88,848.79,31,124,blue,https://uri.amap.com/marker?position=116.411482%2C39.892508&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E5%B1%B1%E9%87%8E%E4%B8%98%E4%B8%98&src=codex.poi.visit,https://www.amap.com/search?query=%E5%B1%B1%E9%87%8E%E4%B8%98%E4%B8%98
扫码/营销调研,王府井-前门-西单,3,Salud欧洲冻酸奶(北京西单大悦城),西单北大街131号7F-D29号商铺,116.372838,39.910539,北京五区1,刘琦,闫晓钰,7018752408637573134,7318239415422273576,7441138135646832640,7318254768051210280,热点商业区块,核心商业区,正常营业,1,1,1,2291.34,517.00,15,143,blue,https://uri.amap.com/marker?position=116.372838%2C39.910539&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-Salud%E6%AC%A7%E6%B4%B2%E5%86%BB%E9%85%B8%E5%A5%B6%28%E5%8C%97%E4%BA%AC%E8%A5%BF%E5%8D%95%E5%A4%A7%E6%82%A6%E5%9F%8E%29&src=codex.poi.visit,https://www.amap.com/search?query=Salud%E6%AC%A7%E6%B4%B2%E5%86%BB%E9%85%B8%E5%A5%B6%28%E5%8C%97%E4%BA%AC%E8%A5%BF%E5%8D%95%E5%A4%A7%E6%82%A6%E5%9F%8E%29
扫码/营销调研,王府井-前门-西单,4,COOPS自然醒(银泰in88购物中心店),王府井大街88号王府井银泰in88B1层,116.411923,39.91584,北京六区3,吴权,叶傲霜,7562546047101257738,7597705801687468072,7588512408277174313,7284110830457587753,热点商业区块,核心商业区,正常营业,1,1,1,997.10,439.10,4,71,blue,https://uri.amap.com/marker?position=116.411923%2C39.915840&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-COOPS%E8%87%AA%E7%84%B6%E9%86%92%28%E9%93%B6%E6%B3%B0in88%E8%B4%AD%E7%89%A9%E4%B8%AD%E5%BF%83%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=COOPS%E8%87%AA%E7%84%B6%E9%86%92%28%E9%93%B6%E6%B3%B0in88%E8%B4%AD%E7%89%A9%E4%B8%AD%E5%BF%83%E5%BA%97%29
扫码/营销调研,王府井-前门-西单,5,露娜·LUNA面包烘焙,烂缦胡同南口130号,116.372368,39.883426,北京二区1,钱耿依隆,隋明浩,7579479997602154550,7587305206963046435,-,7562460297345108002,热点商业区块,核心商业区,正常营业,1,1,1,994.60,336.19,10,1228,blue,https://uri.amap.com/marker?position=116.372368%2C39.883426&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E9%9C%B2%E5%A8%9C%C2%B7LUNA%E9%9D%A2%E5%8C%85%E7%83%98%E7%84%99&src=codex.poi.visit,https://www.amap.com/search?query=%E9%9C%B2%E5%A8%9C%C2%B7LUNA%E9%9D%A2%E5%8C%85%E7%83%98%E7%84%99
扫码/营销调研,王府井-前门-西单,6,全意·Whole heart烘培(中信城店),菜市口大街甲2号院3号楼1层101（中信沁园底商）,116.37479,39.885332,北京二区1,钱耿依隆,"李清彬, 王欣燕",7182777447132170295,7569160778272884763,-,7386585397746206732,热点商业区块,核心商业区,正常营业,1,1,1,765.00,540.00,5,34,blue,https://uri.amap.com/marker?position=116.374790%2C39.885332&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E5%85%A8%E6%84%8F%C2%B7Whole+heart%E7%83%98%E5%9F%B9%28%E4%B8%AD%E4%BF%A1%E5%9F%8E%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E5%85%A8%E6%84%8F%C2%B7Whole+heart%E7%83%98%E5%9F%B9%28%E4%B8%AD%E4%BF%A1%E5%9F%8E%E5%BA%97%29
扫码/营销调研,王府井-前门-西单,7,稻香村(百货大楼店),东华门街道北京市百货大楼255号地下一层,116.410203,39.914049,北京六区3,吴权,"荆炳贺, 高玉",7440019098580338703,7572586036199442484,-,7553143789070583835,"热门景点,热点商业区块","休闲文旅区,核心商业区",正常营业,1,1,1,19239.93,51.60,5,2985,blue,https://uri.amap.com/marker?position=116.410203%2C39.914049&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E7%A8%BB%E9%A6%99%E6%9D%91%28%E7%99%BE%E8%B4%A7%E5%A4%A7%E6%A5%BC%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E7%A8%BB%E9%A6%99%E6%9D%91%28%E7%99%BE%E8%B4%A7%E5%A4%A7%E6%A5%BC%E5%BA%97%29
扫码/营销调研,王府井-前门-西单,8,炉彼烘焙工坊Luppie Bakery(崇文门合景魔方商场店),崇文门外大街1号北京合景·摩方购物中心B1,116.417661,39.899661,北京二区4,张育岩,白鑫宇,7618128519058573322,7618473861385914406,7618157754683541546,7481932779282761754,"商业街/步行街&集市,热门景点","核心商业区,休闲文旅区",正常营业,1,1,1,2846.40,0.00,4,286,blue,https://uri.amap.com/marker?position=116.417661%2C39.899661&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E7%82%89%E5%BD%BC%E7%83%98%E7%84%99%E5%B7%A5%E5%9D%8ALuppie+Bakery%28%E5%B4%87%E6%96%87%E9%97%A8%E5%90%88%E6%99%AF%E9%AD%94%E6%96%B9%E5%95%86%E5%9C%BA%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E7%82%89%E5%BD%BC%E7%83%98%E7%84%99%E5%B7%A5%E5%9D%8ALuppie+Bakery%28%E5%B4%87%E6%96%87%E9%97%A8%E5%90%88%E6%99%AF%E9%AD%94%E6%96%B9%E5%95%86%E5%9C%BA%E5%BA%97%29
新开问题调研,王府井-前门-西单,1,稻香村糕点,大栅栏西街110号,116.3965,39.89594,北京二区1,钱耿依隆,李清彬,-,-,-,7630428046503348262,-,-,正常营业,0/空,0,0,0.00,0.00,0,0,orange,https://uri.amap.com/marker?position=116.396500%2C39.895940&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E7%A8%BB%E9%A6%99%E6%9D%91%E7%B3%95%E7%82%B9&src=codex.poi.visit,https://www.amap.com/search?query=%E7%A8%BB%E9%A6%99%E6%9D%91%E7%B3%95%E7%82%B9
新开问题调研,王府井-前门-西单,2,现榨果汁,小江胡同1号,116.398099,39.896303,北京二区4,张育岩,"张瑷麟, 王文朵",-,-,-,7625510975622940712,-,-,正常营业,0/空,0,0,0.00,0.00,0,0,orange,https://uri.amap.com/marker?position=116.398099%2C39.896303&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E7%8E%B0%E6%A6%A8%E6%9E%9C%E6%B1%81&src=codex.poi.visit,https://www.amap.com/search?query=%E7%8E%B0%E6%A6%A8%E6%9E%9C%E6%B1%81
新开问题调研,王府井-前门-西单,3,糯叽叽麻糍铺,前门步行街6号,116.398399,39.895275,北京二区4,张育岩,"张瑷麟, 王文朵",-,-,-,7621870381850167332,"商业街/步行街&集市,热门景点","核心商业区,休闲文旅区",正常营业,0/空,0,0,0.00,0.00,0,40,orange,https://uri.amap.com/marker?position=116.398399%2C39.895275&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E7%B3%AF%E5%8F%BD%E5%8F%BD%E9%BA%BB%E7%B3%8D%E9%93%BA&src=codex.poi.visit,https://www.amap.com/search?query=%E7%B3%AF%E5%8F%BD%E5%8F%BD%E9%BA%BB%E7%B3%8D%E9%93%BA
新开问题调研,王府井-前门-西单,4,北冰洋北平制冰厂饮品,永定门内大街1号(天坛西门),116.398473,39.880723,北京二区1,钱耿依隆,"李桐, 张博辉",-,-,-,7625566348034361390,-,-,正常营业,0/空,0,0,0.00,0.00,0,7,orange,https://uri.amap.com/marker?position=116.398473%2C39.880723&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E5%8C%97%E5%86%B0%E6%B4%8B%E5%8C%97%E5%B9%B3%E5%88%B6%E5%86%B0%E5%8E%82%E9%A5%AE%E5%93%81&src=codex.poi.visit,https://www.amap.com/search?query=%E5%8C%97%E5%86%B0%E6%B4%8B%E5%8C%97%E5%B9%B3%E5%88%B6%E5%86%B0%E5%8E%82%E9%A5%AE%E5%93%81
新开问题调研,王府井-前门-西单,5,椰不二(北京东城国瑞店),崇文门外大街18号,116.419746,39.898707,北京二区4,张育岩,张瑷麟,-,-,-,7629265742470318089,"热点商业区块,跨城交通--火车站/高铁站","核心商业区,交通枢纽区",正常营业,0/空,0,0,0.00,0.00,0,6,orange,https://uri.amap.com/marker?position=116.419746%2C39.898707&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E6%A4%B0%E4%B8%8D%E4%BA%8C%28%E5%8C%97%E4%BA%AC%E4%B8%9C%E5%9F%8E%E5%9B%BD%E7%91%9E%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E6%A4%B0%E4%B8%8D%E4%BA%8C%28%E5%8C%97%E4%BA%AC%E4%B8%9C%E5%9F%8E%E5%9B%BD%E7%91%9E%E5%BA%97%29
动销问题调研,王府井-前门-西单,1,复古空间·茶·咖啡·花,崇文门外街道五老胡同北口兴隆都市馨园1号楼B20室,116.415285,39.896443,北京二区4,张育岩,白鑫宇,7089299713597376553,7123876108927731719,-,6601198863388805124,热点商业区块,核心商业区,正常营业,1,1,0,0.00,0.00,22,64,red,https://uri.amap.com/marker?position=116.415285%2C39.896443&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E5%A4%8D%E5%8F%A4%E7%A9%BA%E9%97%B4%C2%B7%E8%8C%B6%C2%B7%E5%92%96%E5%95%A1%C2%B7%E8%8A%B1&src=codex.poi.visit,https://www.amap.com/search?query=%E5%A4%8D%E5%8F%A4%E7%A9%BA%E9%97%B4%C2%B7%E8%8C%B6%C2%B7%E5%92%96%E5%95%A1%C2%B7%E8%8A%B1
动销问题调研,王府井-前门-西单,2,暖拾茶饮,南横西街31号3号房,116.372702,39.883467,北京二区1,钱耿依隆,隋明浩,7441855290472925220,7582416087518660634,-,7442184970543564815,-,-,正常营业,1,1,0,0.00,0.00,14,11,red,https://uri.amap.com/marker?position=116.372702%2C39.883467&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E6%9A%96%E6%8B%BE%E8%8C%B6%E9%A5%AE&src=codex.poi.visit,https://www.amap.com/search?query=%E6%9A%96%E6%8B%BE%E8%8C%B6%E9%A5%AE
动销问题调研,王府井-前门-西单,3,财院儿(北京四合院店),樱桃斜街66号,116.386773,39.892688,北京二区1,钱耿依隆,李清彬,7581719385606342666,7581750585125406774,-,7580935946938353698,热点商业区块,核心商业区,正常营业,1,1,0,0.00,0.00,11,130,red,https://uri.amap.com/marker?position=116.386773%2C39.892688&name=%E5%8A%A8%E9%94%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E8%B4%A2%E9%99%A2%E5%84%BF%28%E5%8C%97%E4%BA%AC%E5%9B%9B%E5%90%88%E9%99%A2%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E8%B4%A2%E9%99%A2%E5%84%BF%28%E5%8C%97%E4%BA%AC%E5%9B%9B%E5%90%88%E9%99%A2%E5%BA%97%29
